Value,Disaggregation combinations using this value,Number of indicators
Clarendon,13,3
Female,2,1
Hanover,13,3
Jamaica,10,2
Kingston and St Andrew,5,1
Kingston,8,2
Male,2,1
Manchester,13,3
Portland,13,3
Portmore,5,1
St  Andrew,5,1
St. Andrew,3,1
St Ann,5,1
St  Ann,5,1
St. Ann,3,1
St Catherine,5,1
St  Catherine,5,1
St. Catherine,3,1
St Elizabeth,5,1
St  Elizabeth,5,1
St. Elizabeth,3,1
St James,5,1
St  James,5,1
St. James,3,1
St Mary,5,1
St  Mary,5,1
St. Mary,3,1
St Thomas,5,1
St  Thomas,5,1
St. Thomas,3,1
Trelawny,13,3
Westmoreland,13,3
